timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
16:43:31.143706,-2,-1,-1,-1,-1,0,-1,1
16:43:31.143706,-1,1,0,-1,4,-1,2,0
16:43:31.153698,12,2,-2,-2,3,-2,-2,0
16:43:31.168686,2,-2,2,0,-3,-4,0,-2
16:43:31.175683,-1,-2,-3,1,7,3,-3,-4
16:43:31.176681,0,1,-3,-14,-36,-2,1,0
16:43:31.197670,-4,-2,-2,7,11,0,0,2
16:43:31.198667,-1,0,-1,-3,-9,-3,0,-2
16:43:31.220654,1,2,1,24,25,-3,0,1
16:43:31.221654,-4,-3,-1,-13,-16,-4,0,-1
16:43:31.235645,-2,-1,0,0,3,-2,1,1
16:43:31.236644,-3,-4,-2,-2,1,-4,-4,-3
16:43:31.257633,1,-1,-2,0,-2,-4,-1,0
16:43:31.258629,-2,-1,0,0,-6,0,0,-2
16:43:31.273623,1,-1,1,2,5,3,-2,-1
16:43:31.280615,-3,-1,-2,-17,-46,-2,-2,-1
16:43:31.295614,-6,-2,2,7,11,-3,-3,0
16:43:31.296606,0,-3,0,-3,0,-3,0,0
16:43:31.325589,0,-1,2,0,-3,-3,-1,-1
16:43:31.326588,2,0,1,0,-6,-3,-1,-1
16:43:31.340579,-4,0,-1,1,2,1,0,-3
16:43:31.341578,-1,-1,1,-1,-2,-3,-2,-1
16:43:31.355573,-4,-2,3,1,2,1,0,-3
16:43:31.356574,-6,-1,1,10,3,0,-1,-1
16:43:31.377559,2,0,-3,20,17,1,1,0
16:43:31.378555,13,5,0,-15,-17,-2,-2,0
16:43:31.400542,2,-1,1,3,11,0,2,1
16:43:31.401540,0,2,0,2,-1,2,4,0
16:43:31.422532,-1,-3,-5,-5,-4,-1,-4,1
16:43:31.423527,-1,-1,0,2,1,-1,0,-1
16:43:31.437527,-1,-2,0,-2,-3,1,-2,-1
16:43:31.438519,-3,-1,0,-2,-3,-5,1,-2
16:43:31.460507,-3,-1,-1,4,8,1,-2,-1
16:43:31.468500,-1,-1,-2,-3,-4,0,1,-2
16:43:31.475496,1,-2,-1,-1,-7,-1,1,-2
16:43:31.475496,5,1,-2,6,-4,-5,-1,-1
16:43:31.498492,0,0,-1,1,8,-7,-3,0
16:43:31.498492,-2,0,2,1,5,-1,0,0
16:43:31.528463,0,-1,-2,-2,-8,-2,-4,2
16:43:31.528463,-3,1,0,5,2,-3,-2,-4
16:43:31.535466,-3,-4,-1,-2,7,-3,-2,-2
16:43:31.536458,-2,-1,0,-8,-22,-1,1,-2
16:43:31.558443,-2,-3,0,2,3,-5,-1,2
16:43:31.558443,0,-3,-2,-2,1,-1,-3,-3
16:43:31.580430,3,-3,-4,-1,0,0,-1,-1
16:43:31.581429,-1,-1,-2,0,7,-3,-4,0
16:43:31.595421,-2,-2,-3,-7,-42,2,1,-4
16:43:31.596426,7,2,-3,-1,5,-3,1,4
16:43:31.618406,2,-2,2,7,15,2,-3,-2
16:43:31.618406,-4,-1,-3,-11,-17,-2,-1,-3
16:43:31.640393,4,-5,-1,3,8,0,2,0
16:43:31.641393,-2,-1,-1,-2,-5,-5,-1,-2
16:43:31.655389,1,-3,-3,-2,1,-1,1,0
16:43:31.656384,1,-2,-5,2,0,0,-2,-1
16:43:31.678370,-8,-4,-2,-6,-10,-6,-1,-2
16:43:31.680369,-3,-1,-3,-26,8,-1,3,0
16:43:31.700391,-1,-2,-3,-2,-2,1,-3,0
16:43:31.701355,0,3,-3,-24,-32,0,-2,-3
16:43:31.715373,-2,0,2,10,8,1,0,0
16:43:31.716346,-5,-1,-3,-2,0,2,-1,-1
16:43:31.738333,-2,0,-5,0,-3,1,-3,-2
16:43:31.738333,2,-5,0,4,12,0,0,-2
16:43:31.760319,0,0,-1,-2,-1,0,-1,-1
16:43:31.761319,0,-1,-1,-1,2,-1,-1,0
16:43:31.775392,-1,1,0,2,1,-2,-1,1
16:43:31.776317,1,1,-2,-2,6,-3,-1,0
16:43:31.798296,-4,-5,1,6,5,0,-2,-2
16:43:31.798296,7,0,-1,-17,-44,-5,0,3
16:43:31.820284,-2,1,-1,13,12,2,-3,-2
16:43:31.821281,1,1,1,-2,-2,-3,-2,-2
16:43:31.835290,2,0,-2,-8,-6,-2,1,-1
16:43:31.836272,-3,3,0,-4,0,2,0,-2
16:43:31.858259,-1,-2,-3,-18,-31,0,-1,2
16:43:31.858259,2,-2,-2,5,12,2,1,2
16:43:31.880246,-3,-2,-1,1,-1,-2,-1,-1
16:43:31.881244,1,2,-1,-8,-3,3,-1,-3
16:43:31.895237,1,0,-1,5,16,-2,-2,-2
16:43:31.897234,0,0,1,-2,-4,-2,0,0
16:43:31.918221,1,1,2,0,1,1,-1,3
16:43:31.919221,0,1,-2,4,4,4,-3,0
16:43:31.940221,3,3,0,-1,-1,-2,-4,1
16:43:31.941206,-1,-1,0,-5,-14,-4,-1,0
16:43:31.956196,-3,-1,0,-1,0,4,-1,-2
16:43:31.956196,4,0,-1,25,5,0,-3,-1
16:43:31.978185,-1,0,3,0,11,2,1,0
16:43:31.981183,-5,1,-1,-3,5,0,1,-1
16:43:32.001173,-3,1,-1,2,10,0,-1,2
16:43:32.002169,2,0,-1,3,0,-3,-2,0
16:43:32.016161,-1,1,-1,-3,-7,1,0,0
16:43:32.016161,-2,-1,-2,12,3,2,0,1
16:43:32.038149,1,-1,-1,-1,4,1,1,0
16:43:32.039146,-1,0,-2,-1,2,-3,-5,-1
16:43:32.061135,-2,0,-1,-3,-3,0,-2,-1
16:43:32.062134,-3,-3,1,-14,-33,0,-1,-1
16:43:32.076123,-5,-4,0,6,7,-2,-1,-2
16:43:32.077126,1,1,2,17,-22,3,1,4
16:43:32.099109,-1,-1,-4,0,6,-4,-1,-3
16:43:32.099109,-1,0,-3,-3,-9,-1,-2,1
16:43:32.121098,-4,0,0,10,4,-5,-4,-3
16:43:32.122097,1,1,2,-1,1,0,-1,1
16:43:32.136089,-2,-2,1,-1,-5,-1,1,-5
16:43:32.137088,-1,0,0,-3,-1,1,-1,2
16:43:32.159072,-3,0,-2,-4,-8,1,-2,0
16:43:32.159072,-3,-1,4,1,6,1,0,0
16:43:32.182058,2,0,0,-24,-56,0,0,-3
16:43:32.182058,0,-2,-1,12,24,-1,-1,-1
16:43:32.197049,0,-3,-4,-30,-6,0,-3,1
16:43:32.204047,-1,0,-3,-10,0,0,-3,-3
16:43:32.219036,-1,-2,-1,-2,-3,0,2,-1
16:43:32.219036,-5,0,2,-2,-5,-3,1,2
16:43:32.241024,-3,3,-2,4,-2,1,-1,-6
16:43:32.242020,3,-1,-2,-2,-3,-2,-3,-1
16:43:32.256014,-3,0,-2,9,12,-1,0,0
16:43:32.257014,0,0,-1,1,13,0,1,2
16:43:32.278000,1,0,-1,1,9,-1,-2,-2
16:43:32.278998,2,0,-3,-1,4,2,1,1
16:43:32.300987,-2,-1,-1,-4,-3,-3,0,-2
16:43:32.301986,0,-3,-1,-4,-13,-7,-2,-2
16:43:32.315978,1,1,-2,1,0,-1,-4,1
16:43:32.316976,-3,-2,0,-1,-9,-7,-2,0
16:43:32.338960,1,-1,-1,7,5,4,1,-1
16:43:32.338960,-4,-3,2,7,1,-3,-2,-2
16:43:32.360949,-5,-6,-4,-9,0,1,1,-2
16:43:32.361949,2,3,-2,0,-8,-2,2,1
16:43:32.375940,1,2,-1,-4,-18,-2,-1,1
16:43:32.376937,0,-3,0,0,-2,-2,-1,-1
16:43:32.398923,-1,-2,-3,0,9,2,3,-3
16:43:32.398923,0,-2,-4,-3,-3,-4,-1,0
16:43:32.420912,-1,-4,1,3,-3,0,-1,0
