timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
18:52:14.408157,0,1,-1,0,2,0,3,2
18:52:14.409155,-1,-2,-5,2,0,0,-1,4
18:52:14.434140,-2,0,0,-2,-1,1,-1,-6
18:52:14.435138,-3,2,-1,0,-1,-3,-2,0
18:52:14.449128,-2,-1,-1,-1,3,0,0,0
18:52:14.450129,-4,-5,-4,0,2,-2,-2,-1
18:52:14.464120,0,1,0,0,0,0,1,0
18:52:14.465120,16,9,3,2,0,0,-14,-6
18:52:14.487106,-4,-4,-2,-1,-4,-1,3,1
18:52:14.487106,-3,-3,2,-1,1,-2,-1,-2
18:52:14.502095,0,0,-1,3,-1,1,2,1
18:52:14.509094,-2,0,0,-4,-1,-1,0,2
18:52:14.524085,-5,0,-2,-4,3,-4,-3,1
18:52:14.525081,-6,-6,-1,-2,1,-1,-2,-3
18:52:14.547084,-6,0,1,3,2,0,-2,-6
18:52:14.547084,-5,0,0,-2,-3,0,-3,-7
18:52:14.569057,0,0,0,1,1,4,1,0
18:52:14.570053,-5,-2,-1,0,1,1,-1,0
18:52:14.584047,4,1,0,2,0,-1,-5,4
18:52:14.585045,-7,-3,-3,0,-4,-1,0,-1
18:52:14.607032,0,-2,-3,-3,2,-2,0,0
18:52:14.608031,-1,-2,0,-1,-2,0,-4,-3
18:52:14.629022,-3,0,-3,1,-3,-1,4,-4
18:52:14.630016,0,-1,0,-1,-1,0,-10,-1
18:52:14.645009,1,0,-1,1,-3,-1,2,-2
18:52:14.645009,-4,-2,-1,-1,-2,-3,1,3
18:52:14.666996,-1,-4,-1,-3,2,0,-14,-2
18:52:14.667994,3,-1,1,0,-1,2,2,-1
18:52:14.689979,-4,-4,-1,0,-1,-2,-3,0
18:52:14.689979,-4,-4,-3,-3,-4,-3,2,2
18:52:14.704970,4,0,2,0,2,-2,-2,-1
18:52:14.704970,-2,0,3,-1,-3,-2,-3,-5
18:52:14.726959,0,-1,-2,0,-3,0,-1,-1
18:52:14.727958,1,-2,-1,1,2,-1,-2,-4
18:52:14.749944,-2,-3,1,0,-1,-1,2,1
18:52:14.750944,0,1,-1,-3,0,-6,-3,-3
18:52:14.764936,6,3,-3,-1,-3,-2,7,-3
18:52:14.764936,-3,0,0,1,2,-1,-11,-2
18:52:14.786921,1,-2,5,3,2,1,3,1
18:52:14.787918,4,-2,1,-1,-1,0,-1,2
18:52:14.809908,2,1,0,0,-1,-2,-1,-3
18:52:14.809908,-2,2,0,0,1,-1,-12,-1
18:52:14.824895,3,3,1,2,3,-2,3,0
18:52:14.825897,-5,-4,-1,-3,-1,-3,-1,-5
