timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
16:27:44.643795,-2,-4,0,-3,0,1,-1,3
16:27:44.651790,5,-2,-3,-4,0,0,-1,1
16:27:44.658783,-1,-1,0,0,0,-2,-3,-2
16:27:44.673775,-2,-1,-2,-2,-4,-3,-1,-1
16:27:44.681769,-2,0,1,0,2,-3,0,1
16:27:44.695761,-1,-1,-1,0,-2,0,-1,-2
16:27:44.703756,-1,-2,-4,1,-4,-3,-2,-1
16:27:44.710750,-4,0,-1,-1,-1,-2,-1,-3
16:27:44.718747,6,-3,-2,1,-2,-1,-1,0
16:27:44.733738,-1,-1,2,0,-1,-1,-1,0
16:27:44.740733,-1,-3,0,0,-1,-4,2,-3
16:27:44.755722,-2,-1,-5,-2,1,-1,1,0
16:27:44.763718,0,1,-1,0,-1,-4,0,0
16:27:44.778709,1,0,2,-2,0,-1,1,-1
16:27:44.778709,-2,-1,-3,0,4,4,3,-1
16:27:44.793701,-1,-2,-1,-1,-2,0,-2,-4
16:27:44.800696,-4,1,0,-2,0,-1,0,3
16:27:44.816690,-2,0,2,-1,-1,-1,-5,-1
16:27:44.823684,-4,-3,0,1,3,0,0,-3
16:27:44.838675,-2,0,0,0,-1,-1,1,1
16:27:44.839672,-1,0,-1,-1,1,-2,0,0
16:27:44.853666,1,2,0,0,1,-1,-1,-3
16:27:44.860661,1,-1,-1,0,2,-1,1,-4
16:27:44.876649,0,-1,1,-1,-2,0,-3,0
16:27:44.883648,-2,-2,-1,-2,-1,0,2,-1
16:27:44.898638,-2,-1,-2,-2,-1,0,1,-2
16:27:44.899636,-1,-1,-3,1,0,-2,0,-1
16:27:44.913626,2,1,0,1,-1,0,-1,-2
16:27:44.921621,-4,-1,1,-3,0,-4,0,-4
16:27:44.936615,0,-1,-1,3,0,1,1,-1
16:27:44.943611,-1,-1,1,-1,-2,1,2,3
16:27:44.966594,-1,0,1,-7,-1,0,-1,0
16:27:44.966594,-5,1,0,1,-2,-4,-1,-2
16:27:44.973592,0,2,2,-1,2,-4,0,-1
16:27:44.981584,0,-1,0,-3,-3,-1,0,-4
16:27:44.996575,-1,-5,-5,-2,-3,1,0,-1
